epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,12925.5,1.04972,0.47011,1.13771,0.98549,0.95775,0.98462,0.71179,1.0814,0.36587,1.13128,0.00208,0.00208,0.00208
82,13060.8,1.044,0.46412,1.13633,0.98551,0.95778,0.98454,0.71148,1.08112,0.36564,1.13121,0.001981,0.001981,0.001981
83,13196,1.0479,0.46582,1.13515,0.9855,0.95733,0.98457,0.71186,1.08057,0.36542,1.13102,0.001882,0.001882,0.001882
84,13331.7,1.04381,0.46374,1.13505,0.9855,0.95745,0.98461,0.7116,1.08086,0.36522,1.13104,0.001783,0.001783,0.001783
85,13466.8,1.03702,0.45778,1.1311,0.98551,0.95778,0.98469,0.71173,1.08022,0.36509,1.13077,0.001684,0.001684,0.001684
86,13601.8,1.0289,0.45409,1.13003,0.98537,0.95775,0.98475,0.71172,1.0803,0.36498,1.13087,0.001585,0.001585,0.001585
87,13737.2,1.02592,0.45709,1.12627,0.98464,0.95726,0.98474,0.71141,1.07994,0.36439,1.13083,0.001486,0.001486,0.001486
88,13872.2,1.03,0.45283,1.12411,0.98501,0.95739,0.98478,0.7115,1.08002,0.36402,1.13093,0.001387,0.001387,0.001387
89,14007.5,1.02188,0.45199,1.12199,0.98507,0.95726,0.98476,0.71168,1.07998,0.36354,1.13085,0.001288,0.001288,0.001288
90,14142.4,1.0205,0.44967,1.12278,0.9859,0.95726,0.98482,0.71132,1.07989,0.3634,1.13082,0.001189,0.001189,0.001189
91,14277.1,1.03902,0.38951,1.16945,0.9855,0.95756,0.98483,0.71291,1.07951,0.36317,1.13038,0.00109,0.00109,0.00109
92,14410.6,1.02694,0.38383,1.16577,0.9855,0.95746,0.98487,0.71258,1.07945,0.36311,1.13042,0.000991,0.000991,0.000991
93,14544.6,1.01801,0.37996,1.1639,0.98599,0.957,0.985,0.71268,1.07931,0.36245,1.13024,0.000892,0.000892,0.000892
94,14678.3,1.01286,0.3749,1.16401,0.98649,0.95738,0.98537,0.71304,1.07931,0.36209,1.13023,0.000793,0.000793,0.000793
95,14812,1.00302,0.37398,1.1575,0.98649,0.95749,0.98541,0.71283,1.07923,0.36121,1.13035,0.000694,0.000694,0.000694
96,14945.6,0.99991,0.37205,1.15465,0.98649,0.95774,0.98548,0.71378,1.07927,0.36093,1.13023,0.000595,0.000595,0.000595
97,15079.3,0.99477,0.36789,1.15105,0.98639,0.95823,0.98537,0.71364,1.07908,0.36076,1.13015,0.000496,0.000496,0.000496
98,15213.1,0.98553,0.36578,1.14673,0.98602,0.95823,0.98538,0.71402,1.07883,0.36038,1.13002,0.000397,0.000397,0.000397
99,15346.2,0.98502,0.36417,1.14537,0.98627,0.95823,0.98545,0.71426,1.07847,0.36023,1.12982,0.000298,0.000298,0.000298
100,15479.7,0.97886,0.36149,1.14155,0.98621,0.95823,0.98551,0.71486,1.07838,0.36032,1.12989,0.000199,0.000199,0.000199
